Row,SOURCE,BEC Number,ID,GGROUP_EXP,ORDER_ONLY,LAT,LON,LATLON_Q,Elevation,Slope,Aspect,Horizon,UpperDepth,LowerDepth,DEPTH,Texture,HorizonType,MIN_D,FF_D,Zone,SurficialMaterialSurf,MINERAL_D,FF_D,TOTAL_D,BULK.DENSITY,CF,NEW.CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,next,,,,,
1,SEE BEC FILE,445,1,HFP,Podzolic,50.042816,25.158318,HIGH,NA,NA,NA,Lv,17,16,1,NA,1,0,1,CWH,F,40,17,57,0.14,0,43.21,605,18622,605,186.2,1,,,,,
2,,445,1,HFP,Podzolic,,,,,,,Fa,16,5,11,NA,1,0,11,CWH,F,,,,0.14,0,43.21,6654,,6654,,,,,,,
3,,445,1,HFP,Podzolic,,,,,,,Hh,5,0,5,NA,1,0,5,CWH,F,,,,0.14,0,36.65,2566,,2566,,,,,,,
4,,493,1,HFP,Podzolic,,,,,,,Bf1,0,-30,30,SL,2,30,0,CWH,C,,,,1.38,5,1.7,6686,,6686,,,,,,,
5,,493,1,HFP,Podzolic,,,,,,,Bf2,-30,-40,10,SL,2,10,0,CWH,C,,,,1.38,10,1.7,2111,,2111,,,,,,,
6,SEE BEC FILE,212,2,FHP,Podzolic,49.01205063,121.0587997,HIGH,NA,NA,NA,Fm,4,0,4,NA,1,0,4,CWH,F,60,4,64,0.11,0,45.06,1983,26720,1983,267.2,1,,,,,
7,,225,2,FHP,Podzolic,,,,,,,Bf,0,-20,20,SL,2,20,0,CWH,F,,,,1.17,0,3.92,9173,,9173,,,,,,,
8,,225,2,FHP,Podzolic,,,,,,,Bfj,-20,-30,10,FSL,2,10,0,CWH,F,,,,1.17,0,3.92,4586,,4586,,,,,,,
9,,225,2,FHP,Podzolic,,,,,,,Bm,-30,-40,10,FSL,2,10,0,CWH,F,,,,1.71,0,3.92,6703,,6703,,,,,,,
10,,225,2,FHP,Podzolic,,,,,,,Bc,-40,-60,20,S,2,20,0,CWH,F,,,,1.71,0,1.25,4275,,4275,,,,,,,
11,SEE BEC FILE,212,3,HFP,Podzolic,49.01889801,121.0585098,HIGH,NA,NA,NA,L,0,0,0,NA,1,0,0,CWH,F,16,7,23,0.14,0,43.21,0,6212,0,62.1,1,,,,,
12,,416,3,HFP,Podzolic,,,,,,,Ln,7,4,3,NA,1,0,3,MH,C,,,,0.14,0,43.21,1815,,1815,,,,,,,
13,,416,3,HFP,Podzolic,,,,,,,Fm,4,2,2,NA,1,0,2,MH,C,,,,0.14,0,43.21,1210,,1210,,,,,,,
14,,416,3,HFP,Podzolic,,,,,,,Hh,2,0,2,NA,1,0,2,MH,C,,,,0.14,0,36.65,1026,,1026,,,,,,,
15,,463,3,HFP,Podzolic,,,,,,,Ah,0,-2,2,SL,2,2,0,IDF,C,,,,1.31,45,4.74,683,,683,,,,,,,
16,,463,3,HFP,Podzolic,,,,,,,Bf,-2,-16,14,SL,2,14,0,IDF,C,,,,1.38,55,1.7,1478,,1478,,,,,,,
17,,463,3,HFP,Podzolic,,,,,,,R,-16,-16,0,NA,2,0,0,IDF,C,,,,0,0,,0,,0,,,,,,,
18,SEE BEC FILE,303,4,HFP,Podzolic,49.02538681,121.0570679,HIGH,NA,NA,NA,Ln,7,3,4,NA,1,0,4,MH,C,61,7,68,0.14,0,43.21,2420,15209,2420,152.1,1,,,,,
19,,303,4,HFP,Podzolic,,,,,,,Fm,3,0,3,NA,1,0,3,MH,C,,,,0.14,0,43.21,1815,,1815,,,,,,,
20,,332,4,HFP,Podzolic,,,,,,,Bhf,0,-10,10,SL,2,10,0,IDF,FG,,,,0.87,5,1.7,1405,,1405,,,,,,,
21,,332,4,HFP,Podzolic,,,,,,,Bf1,-1,-32,31,LS,2,31,0,IDF,FG,,,,1.38,5,1.7,6909,,6909,,,,,,,
22,,332,4,HFP,Podzolic,,,,,,,Bm,-32,-44,12,S,2,12,0,IDF,FG,,,,1.19,60,1.7,971,,971,,,,,,,
23,,332,4,HFP,Podzolic,,,,,,,Bf2,-44,-52,8,LS,2,8,0,IDF,FG,,,,1.38,10,1.7,1689,,1689,,,,,,,
24,,332,4,HFP,Podzolic,,,,,,,Bf3,-52,-52,0,SL,2,0,0,IDF,FG,,,,1.38,5,1.7,0,,0,,,,,,,
25,SEE BEC FILE,213,5,SB,Brunisolic,49.01958084,121.0679016,HIGH,NA,NA,NA,Fz,5,0,5,NA,1,0,5,CWH,C,70,5,75,0.16,0,37.4,2992,17921,2992,179.2,1,,,,,
26,,226,5,SB,Brunisolic,,,,,,,Ah,0,-8,8,SI,2,8,0,CWH,F,,,,1.07,0,3.36,2876,,2876,,,,,,,
27,,226,5,SB,Brunisolic,,,,,,,Bm,-8,-38,30,SI,2,30,0,CWH,F,,,,1.62,0,1.2,5832,,5832,,,,,,,
28,,226,5,SB,Brunisolic,,,,,,,Bfb,-50,-55,5,SIL,2,5,0,CWH,F,,,,1.62,0,1.2,972,,972,,,,,,,
29,,226,5,SB,Brunisolic,,,,,,,Bgj,-38,-65,27,SIL,2,27,0,CWH,F,,,,1.62,0,1.2,5249,,5249,,,,,,,
30,SEE BEC FILE,246,6,HFP,Podzolic,49.01972961,121.0683365,HIGH,NA,NA,NA,Ln,5,2,3,NA,1,0,3,CWH,C,63,5,68,0.14,0,43.21,1815,21484,1815,214.8,1,,,,,
31,,246,6,HFP,Podzolic,,,,,,,Hh,2,0,2,NA,1,0,2,CWH,C,,,,0.14,0,36.65,1026,,1026,,,,,,,
32,,274,6,HFP,Podzolic,,,,,,,Ah,0,-10,10,L,2,10,0,IDF,F,,,,1.31,0,4.74,6209,,6209,,,,,,,
33,,274,6,HFP,Podzolic,,,,,,,Bf,-10,-63,53,SICL,2,53,0,IDF,F,,,,1.38,0,1.7,12434,,12434,,,,,,,
34,SEE BEC FILE,247,7,HFP,Podzolic,49.04230881,121.0543518,HIGH,NA,NA,NA,Ln,8,5,3,NA,1,0,3,CWH,C,50,8,58,0.14,0,43.21,1815,12654,1815,126.5,1,,,,,
35,,247,7,HFP,Podzolic,,,,,,,Fm,5,2,3,NA,1,0,3,CWH,C,,,,0.14,0,43.21,1815,,1815,,,,,,,
