SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M
Calvert Island - total C - additional pedons (2014-2016),BC14-05,Placic Humic Podzol,51.644361,-128.145306,HIGH,NA,NA,NA,Lv,28,27,1,100,28,128,0.11,0,63.35,697,31927,697,308.8
Calvert Island - total C - additional pedons (2014-2016),BC14-05,Placic Humic Podzol,51.644361,-128.145306,HIGH,NA,NA,NA,Fm,27,24,3,,,,0.11,0,54.72,1806,,1806,
Calvert Island - total C - additional pedons (2014-2016),BC14-05,Placic Humic Podzol,51.644361,-128.145306,HIGH,NA,NA,NA,Hh1,24,10,14,,,,0.11,0,57.88,8913,,8913,
Calvert Island - total C - additional pedons (2014-2016),BC14-05,Placic Humic Podzol,51.644361,-128.145306,HIGH,NA,NA,NA,Hh2,10,0,10,,,,0.11,0,58.87,6476,,6476,
Calvert Island - total C - additional pedons (2014-2016),BC14-05,Placic Humic Podzol,51.644361,-128.145306,HIGH,NA,NA,NA,Bhcj,0,-10,10,,,,0.86,0,9.89,8507,,8507,
Calvert Island - total C - additional pedons (2014-2016),BC14-05,Placic Humic Podzol,51.644361,-128.145306,HIGH,NA,NA,NA,Ae,-10,-12,2,,,,0.93,0,0.38,71,,71,
Calvert Island - total C - additional pedons (2014-2016),BC14-05,Placic Humic Podzol,51.644361,-128.145306,HIGH,NA,NA,NA,Bfc,-12,-15,3,,,,0.86,0,1.75,452,,452,
Calvert Island - total C - additional pedons (2014-2016),BC14-05,Placic Humic Podzol,51.644361,-128.145306,HIGH,NA,NA,NA,Bmcj1,-15,-70,55,,,,1.71,0,0.37,3484,,3484,
Calvert Island - total C - additional pedons (2014-2016),BC14-05,Placic Humic Podzol,51.644361,-128.145306,HIGH,NA,NA,NA,BCg1,-70,-138,68,,,,1.71,0,0.09,1075,,474,
Calvert Island - total C - additional pedons (2014-2016),BC14-05,Placic Humic Podzol,51.644361,-128.145306,HIGH,NA,NA,NA,Bmcj2,-138,-140,2,,,,1.71,0,0.36,122,,0,
Calvert Island - total C - additional pedons (2014-2016),BC14-05,Placic Humic Podzol,51.644361,-128.145306,HIGH,NA,NA,NA,BCg2,-140,-165,25,,,,1.71,0,0.08,324,,0,
Calvert Island - total C - additional pedons (2014-2016),BC14-06,Orthic Humic Podzol,51.644722,-128.145194,HIGH,NA,NA,NA,Fm,40,33,7,50,40,90,0.11,0,54.04,4161,38580,4161,385.8
Calvert Island - total C - additional pedons (2014-2016),BC14-06,Orthic Humic Podzol,51.644722,-128.145194,HIGH,NA,NA,NA,Om1,33,13,20,,,,0.12,0,60.63,14551,,14551,
Calvert Island - total C - additional pedons (2014-2016),BC14-06,Orthic Humic Podzol,51.644722,-128.145194,HIGH,NA,NA,NA,Om2,13,0,13,,,,0.12,0,40.96,6390,,6390,
Calvert Island - total C - additional pedons (2014-2016),BC14-06,Orthic Humic Podzol,51.644722,-128.145194,HIGH,NA,NA,NA,Bhf,0,-10,10,,,,0.86,0,10.99,9453,,9453,
Calvert Island - total C - additional pedons (2014-2016),BC14-06,Orthic Humic Podzol,51.644722,-128.145194,HIGH,NA,NA,NA,Bhcj,-10,-30,20,,,,0.86,0,1.56,2688,,2688,
Calvert Island - total C - additional pedons (2014-2016),BC14-06,Orthic Humic Podzol,51.644722,-128.145194,HIGH,NA,NA,NA,BC,-30,-50,20,,,,1.71,0,0.39,1338,,1338,
