Row,SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY,MINCONT,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M
1,D'Amore & Lynn (2002),Totem 1,dysic Lithic Cryohemist,56.454228,-133.470332,YES,NA,3.5,NA,,0,7,7,0,70,70,NA,NA,NA,NA,68104,NA,681.0
2,D'Amore & Lynn (2002),Totem 1,dysic Lithic Cryohemist,,,,,,,,7,30,23,,,,0.17,1,49.5,19355,,19355,
3,D'Amore & Lynn (2002),Totem 1,dysic Lithic Cryohemist,,,,,,,,3,49,46,,,,0.17,17,41.5,32453,,32453,
4,D'Amore & Lynn (2002),Totem 1,dysic Lithic Cryohemist,,,,,,,,49,70,21,,,,0.16,3,48.5,16296,,16296,
5,D'Amore & Lynn (2002),Totem 2,euric Terric Cryohemist,56.454192,-133.469466,YES,NA,3.5,NA,,0,20,20,0,100,100,0.12,4,48,11520,80386,11520,803.9
6,D'Amore & Lynn (2002),Totem 2,euric Terric Cryohemist,,,,,,,,20,40,20,,,,0.2,9,45.5,18200,,18200,
7,D'Amore & Lynn (2002),Totem 2,euric Terric Cryohemist,,,,,,,,40,72,32,,,,0.21,8,46,30912,,30912,
8,D'Amore & Lynn (2002),Totem 2,euric Terric Cryohemist,,,,,,,,72,100,28,,,,0.17,17,41.5,19754,,19754,
9,D'Amore & Lynn (2002),Point Barrie 1,dysic Lithic Cryohemist,56.441824,-133.64086,YES,NA,7.5,NA,,0,8,8,0,76,76,0.07,2,49,2744,72246,2744,722.5
10,D'Amore & Lynn (2002),Point Barrie 1,dysic Lithic Cryohemist,,,,,,,,8,16,8,,,,0.14,8,46,5152,,5152,
11,D'Amore & Lynn (2002),Point Barrie 1,dysic Lithic Cryohemist,,,,,,,,16,30,14,,,,0.24,15,42.5,14280,,14280,
12,D'Amore & Lynn (2002),Point Barrie 1,dysic Lithic Cryohemist,,,,,,,,30,58,28,,,,0.23,7,46.5,29946,,29946,
13,D'Amore & Lynn (2002),Point Barrie 1,dysic Lithic Cryohemist,,,,,,,,58,76,18,,,,0.26,14,43,20124,,20124,
14,D'Amore & Lynn (2002),Point Barrie 2,dysic Lithic Cryohemist,56.44277,-133.648222,YES,NA,7.5,NA,,0,12,12,0,38,38,0.07,12,44,3696,32506,3696,325.1
15,D'Amore & Lynn (2002),Point Barrie 2,dysic Lithic Cryohemist,,,,,,,,12,24,12,,,,0.17,13,43.5,8874,,8874,
16,D'Amore & Lynn (2002),Point Barrie 2,dysic Lithic Cryohemist,,,,,,,,24,38,14,,,,0.32,11,44.5,19936,,19936,
17,D'Amore & Lynn (2002),Beaver Creek,euric Typic Cryofibrist,55.342628,-132.844588,YES,NA,1,NA,,23,45,22,0,130,130,0.15,29,35.5,11715,49280,11715,345.8
18,D'Amore & Lynn (2002),Beaver Creek,euric Typic Cryofibrist,,,,,,,,45,88,43,,,,0.1,21,39.5,16985,,16985,
19,D'Amore & Lynn (2002),Beaver Creek,euric Typic Cryofibrist,,,,,,,,88,130,42,,,,0.1,2,49,20580,,5880,
20,D'Amore & Lynn (2002),Airway,euic Terric Cryohemist,58.359872,-134.634728,HIGH,NA,3.5,NA,,0,5,5,0,112,112,0.08,2,49,1960,75680,1960,642.0
