SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,CCONC_SLOPE,Depth of Mean,Real Depth,1/-Trendline Slope,,,
KRANABETTER AND BANNER 2000,Rainbow1,Orthic Ferro-Humic Podozol,54.24027778,-130.0513889,HIGH,NA,NA,NA,L,25,22,3,25,25,50,0.11,,53.0,1748,21043,1748,210.4,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.24027778,-130.0513889,HIGH,NA,NA,NA,Hr,22,7,15,,,,0.11,,53.0,8738,,8738,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.24027778,-130.0513889,HIGH,NA,NA,NA,Hh,7,0,7,,,,0.11,,53.0,4078,,4078,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.24027778,-130.0513889,HIGH,NA,NA,NA,Ae,0,-7,7,,,,0.93,,2.9,1914,,1914,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.24027778,-130.0513889,HIGH,NA,NA,NA,Bhf,-7,-20,13,,,,0.86,0,2.9,3287,,3287,,,,20,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.24027778,-130.0513889,HIGH,NA,NA,NA,C,-20,-25,5,,,,1.74,0,1.47,1279,,1279,,0.588,2.5,22.5,-0.587993179,,,
KRANABETTER AND BANNER 2000,Alywn Lk2,Orthic Humo-Ferric Podzol,54.21444444,-130.2402778,HIGH,NA,NA,NA,L,11,10,1,100,11,111,0.14,,55.0,770,13840,770,138.4,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,54.21444444,-130.2402778,HIGH,NA,NA,NA,Hr,10,1,9,,,,0.14,,55.0,6927,,6927,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,54.21444444,-130.2402778,HIGH,NA,NA,NA,Hh,1,0,1,,,,0.14,,55.0,770,,770,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,54.21444444,-130.2402778,HIGH,NA,NA,NA,Ae,0,-1,1,,,,1.31,,1.9,254,,254,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,54.21444444,-130.2402778,HIGH,NA,NA,NA,Bf1,-1,-6,5,,,,1.46,70,1.9,425,,425,,,,20,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,54.21444444,-130.2402778,HIGH,NA,NA,NA,Bf2,-6,-75,69,,,,1.46,70,1.46,4424,,4424,,,19.6,39.6,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,54.21444444,-130.2402778,HIGH,NA,NA,NA,BC,-75,-100,25,,,,1.19,70,0.30,271,,271,,0.024,67.5,87.5,-0.024250067,,,
KRANABETTER AND BANNER 2000,Diana3,Orthic Humo-Ferric Podzol,54.22222222,-130.175,HIGH,NA,NA,NA,L,24,22,2,100,24,124,0.14,,53.7,1504,28229,1504,282.3,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,54.22222222,-130.175,HIGH,NA,NA,NA,Hr,10,1,9,,,,0.14,,53.7,6767,,6767,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,54.22222222,-130.175,HIGH,NA,NA,NA,Hh,1,0,1,,,,0.14,,53.7,752,,752,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,54.22222222,-130.175,HIGH,NA,NA,NA,Ae,0,-1,1,,,,1.31,,4.4,575,,575,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,54.22222222,-130.175,HIGH,NA,NA,NA,Bfh,-1,-42,41,,,,1.46,50,4.4,13139,,13139,,,,20,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,54.22222222,-130.175,HIGH,NA,NA,NA,BC,-42,-100,58,,,,1.19,50,1.59,5492,,5492,,0.055,51,71,-0.054875707,,,
KRANABETTER AND BANNER 2000,Diana4,Orthic Ferro-Humic Podozol,54.22527778,-130.1597222,HIGH,NA,NA,NA,L,11,10,1,100,11,111,0.11,,54.7,602,27198,602,272.0,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.22527778,-130.1597222,HIGH,NA,NA,NA,Fm,10,9,1,,,,0.11,,54.7,602,,602,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.22527778,-130.1597222,HIGH,NA,NA,NA,Hr,9,1,8,,,,0.11,,54.7,4816,,4816,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.22527778,-130.1597222,HIGH,NA,NA,NA,Hh,1,0,1,,,,0.11,,54.7,602,,602,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.22527778,-130.1597222,HIGH,NA,NA,NA,Bhf1,0,-15,15,,,,0.86,40,5.3,4079,,4079,,,,20,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.22527778,-130.1597222,HIGH,NA,NA,NA,Bhf2,-15,-50,35,,,,0.86,40,4.46,8049,,8049,,,12,32,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.22527778,-130.1597222,HIGH,NA,NA,NA,BC,-50,-100,50,,,,1.71,40,1.65,8448,,8448,,0.066,55,75,-0.065876153,,,
KRANABETTER AND BANNER 2000,SmithIsland5,Orthic Ferro-Humic Podozol,54.18055556,-130.2180556,HIGH,NA,NA,NA,L,15,14,1,90,15,105,0.11,,54.2,596,63683,596,636.8,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.18055556,-130.2180556,HIGH,NA,NA,NA,Hr,14,3,11,,,,0.11,,54.2,6552,,6552,,,,,,,,
