SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,NA,NA,NA,Lv/S,7,6,1,100,7,107,0.16,,53.95,863,6818,863,65.5
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,NA,NA,NA,Fm,6,2,4,,,,0.16,,21.77,1393,,1393,
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,NA,NA,NA,Hh,2,0,2,,,,0.16,,41.50,1328,,1328,
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,NA,NA,NA,Aeg,0,-3,3,,,,1.48,,0.47,208,,208,
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,NA,NA,NA,Bmg,-3,-35,32,,,,1.59,,0.21,1065,,1065,
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,NA,NA,NA,BC,-35,-60,25,,,,1.59,,0.16,634,,634,
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,NA,NA,NA,Cg,-60,-110,50,,,,1.47,,0.18,1326,,1061,
SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,NA,NA,NA,Lv,13,12,1,100,13,113,0.16,,53.33,853,13975,853,138.1
SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,NA,NA,NA,Fm,12,11,1,,,,0.16,,50.78,812,,812,
SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,NA,NA,NA,Hh,11,0,11,,,,0.16,,49.88,8779,,8779,
SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,NA,NA,NA,Ae,0,-7,7,,,,1.32,,0.35,324,,324,
SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,NA,NA,NA,Bm1,-7,-25,18,,,,1.35,,0.58,1408,,1408,
SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,NA,NA,NA,Bm2,-25,-55,30,,,,1.55,,0.25,1160,,1160,
SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,NA,NA,NA,BC,-55,-85,30,,,,1.51,,0.09,406,,406,
SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,NA,NA,NA,Cg,-85,-135,50,,,,1.55,,0.03,232,,70,
SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,NA,NA,NA,Lv,20,19,1,100,20,120,0.11,,55.39,609,37508,609,348.9
SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,NA,NA,NA,Fm,19,15,4,,,,0.11,,54.29,2389,,2389,
SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,NA,NA,NA,Hh,15,0,15,,,,0.11,,57.66,9514,,9514,
SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,NA,NA,NA,Aeg,0,-9,9,,,,0.93,,3.74,3130,,3130,
SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,NA,NA,NA,Bhcj,-9,-20,11,,,,0.86,,2.73,2583,,2583,
SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,NA,NA,NA,Bhg,-20,-59,39,,,,0.86,,3.80,12745,,12745,
SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,NA,NA,NA,Bg,-59,-62,3,,,,0.86,,3.36,867,,867,
SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,NA,NA,NA,Bfc,-62,-65,3,,,,1.17,,1.57,551,,551,
SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,NA,NA,NA,BC,-65,-90,25,,,,1.71,,0.41,1753,,1753,
