Row,HORIZON_ID,LOCATION_ID,HORIZON,HZN_ORG_MIN,UPPER_HZN_LIMIT,HZN_THICKNESS,BULK_DENSITY,DB_MEAS_EST,DB_EST_TYPE,CF_CLASS,CF_VOL_PCT,CF_FINAL,ORG_CARB_PCT,CARB_MEAS_EST,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M
1,3502,687,F,Organic,-1,1,0.16,Estimated,LOOKUP_DB,,NA,0,43.28,Measured,692,12465,692,124.7
2,3503,687,Ae,Mineral,0,1,1.24,Estimated,LOOKUP_DB,,NA,0,2.96,Measured,367,,367,
3,3504,687,Bfj,Mineral,1,15,1.03,Estimated,LOOKUP_DB,31-65%,48,48,3,Measured,2410,,2410,
4,3505,687,Bm,Mineral,16,15,1.45,Estimated,LOOKUP_DB,31-65%,48,48,3,Measured,3393,,3393,
5,3506,687,BC,Mineral,31,39,1.45,Estimated,LOOKUP_DB,31-65%,48,48,1.1,Estimated,3235,,3235,
6,3507,687,Cc,Mineral,70,30,1.38,Estimated,LOOKUP_DB,31-65%,48,48,1.1,Estimated,2368,,2368,
7,3517,690,F,Organic,-1,1,0.14,Estimated,LOOKUP_DB,,NA,0,40.69,Measured,570,18271,570,182.7
8,3518,690,Bf1,Mineral,0,20,1.46,Estimated,LOOKUP_DB,31-65%,48,48,3.56,Measured,5406,,5406,
9,3519,690,Bf2,Mineral,20,40,1.46,Estimated,LOOKUP_DB,31-65%,48,48,3.56,Measured,10811,,10811,
10,3520,690,BCc,Mineral,60,40,1.19,Estimated,LOOKUP_DB,31-65%,48,48,0.6,Estimated,1485,,1485,
11,5820,1123,H,Organic,-11,11,0.11,Estimated,LOOKUP_DB,,NA,0,52.8,Measured,6389,93484,6389,934.8
12,5821,1123,Bhf1,Mineral,0,9,0.86,Estimated,LOOKUP_DB,<10%,5,5,8.3,Measured,6103,,6103,
13,5822,1123,Bhf2,Mineral,9,16,1.19,Measured,,<10%,5,5,7.3,Measured,13204,,13204,
14,5823,1123,Bhf3,Mineral,25,35,1.15,Measured,,<10%,5,5,9.8,Measured,37473,,37473,
15,5824,1123,Bhf4,Mineral,60,39,0.86,Estimated,LOOKUP_DB,<10%,5,5,9.5,Measured,30270,,30270,
16,5825,1123,CBc,Mineral,99,1,2.16,Measured,,<10%,5,5,0.22,Measured,45,,45,
17,6631,1274,LF,Organic,-10,5,0.16,Estimated,LOOKUP_DB,,NA,0,30,Estimated,2400,22598,2400,226.0
18,6632,1274,H,Organic,-5,5,0.16,Estimated,LOOKUP_DB,,NA,0,55.94,Measured,4475,,4475,
19,6633,1274,Bm1,Mineral,0,20,1.45,Measured,,,NA,0,2.68,Measured,7772,,7772,
20,6634,1274,Bm2,Mineral,20,40.5,1.3,Measured,,,NA,0,0.72,Measured,3791,,3791,
21,6635,1274,BC1,Mineral,60.5,35.5,1.41,Measured,,,NA,0,0.72,Measured,3604,,3604,
22,6636,1274,BC2,Mineral,96,4,1.3,Measured,,,NA,0,1.07,Measured,556,,556,
23,9375,1774,LFH,Organic,-8.5,8.5,0.11,Estimated,LOOKUP_DB,,NA,0,42.03,Measured,3930,28711,3930,287.1
24,9376,1774,Aej,Mineral,0,1,0.93,Estimated,LOOKUP_DB,10-30%,20,20,3,Estimated,223,,223,
25,9377,1774,Bhf,Mineral,1,10,0.86,Estimated,LOOKUP_DB,10-30%,20,20,8.66,Measured,5958,,5958,
26,9378,1774,Bhf2,Mineral,11,14,0.86,Estimated,LOOKUP_DB,10-30%,20,20,6.62,Measured,6376,,6376,
27,9379,1774,Bfgj,Mineral,25,29.5,1.17,Estimated,LOOKUP_DB,10-30%,20,20,3.39,Measured,9360,,9360,
28,9380,1774,BCc,Mineral,54.5,45.5,1.71,Estimated,LOOKUP_DB,10-30%,20,20,0.46,Measured,2863,,2863,
29,9381,1775,LFH,Organic,-20,20,0.11,Estimated,LOOKUP_DB,,NA,0,39.53,Measured,8697,38758,8697,387.6
30,9382,1775,Bhf,Mineral,0,26,0.86,Estimated,LOOKUP_DB,31-65%,48,48,7.9,Measured,9185,,9185,
31,9383,1775,Bf1,Mineral,26,22,1.17,Estimated,LOOKUP_DB,31-65%,48,48,4.65,Measured,6224,,6224,
32,9384,1775,Bfgj,Mineral,48,37,1.17,Estimated,LOOKUP_DB,31-65%,48,48,4.36,Measured,9815,,9815,
33,9385,1775,Bf2,Mineral,85,15,1.17,Estimated,LOOKUP_DB,31-65%,48,48,5.3,Measured,4837,,4837,
34,9386,1776,L,Organic,-30,6,0.11,Estimated,LOOKUP_DB,,NA,0,53.06,Measured,3502,35686,3502,356.9
35,9387,1776,FH,Organic,-24,24,0.11,Estimated,LOOKUP_DB,,NA,0,49.19,Measured,12986,,12986,
36,9388,1776,Ae,Mineral,0,2,0.93,Estimated,LOOKUP_DB,31-65%,48,48,5,Estimated,484,,484,
37,9389,1776,Bhf,Mineral,2,12,0.86,Estimated,LOOKUP_DB,31-65%,48,48,8.59,Measured,4610,,4610,
