id,source,pedon_id,order,horizon_number,horizon,horizon_type,depth2,depth1,depth,bulk_density,bd_method,cf,cf_method,cconc,cconc_method,ccontent,ccontent_1m
0,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,1,Lv/S,,7.0,6.0,1.0,0.16,0,0.0,2,53.95,0,863.0,863.0
1,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,2,Fm,,6.0,2.0,4.0,0.16,0,0.0,2,21.77,0,1393.0,1393.0
2,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,3,Hh,,2.0,0.0,2.0,0.16,0,0.0,2,41.5,0,1328.0,1328.0
3,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,4,Aeg,,0.0,-3.0,3.0,1.48,0,0.0,2,0.47,0,209.0,209.0
4,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,5,Bmg,,-3.0,-35.0,32.0,1.59,0,0.0,2,0.21,0,1068.0,1068.0
5,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,6,BC,,-35.0,-60.0,25.0,1.59,0,0.0,2,0.16,0,636.0,636.0
6,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,7,Cg,,-60.0,-110.0,50.0,1.47,0,0.0,2,0.18,0,1323.0,1058.0
7,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,1,Lv,,13.0,12.0,1.0,0.16,0,0.0,2,53.33,0,853.0,853.0
8,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,2,Fm,,12.0,11.0,1.0,0.16,0,0.0,2,50.78,0,812.0,812.0
9,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,3,Hh,,11.0,0.0,11.0,0.16,0,0.0,2,49.88,0,8779.0,8779.0
10,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,4,Ae,,0.0,-7.0,7.0,1.32,0,0.0,2,0.35,0,323.0,323.0
11,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,5,Bm1,,-7.0,-25.0,18.0,1.35,0,0.0,2,0.58,0,1409.0,1409.0
12,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,6,Bm2,,-25.0,-55.0,30.0,1.55,0,0.0,2,0.25,0,1162.0,1162.0
13,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,7,BC,,-55.0,-85.0,30.0,1.51,0,0.0,2,0.09,0,408.0,408.0
14,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,8,Cg,,-85.0,-135.0,50.0,1.55,0,0.0,2,0.03,0,232.0,70.0
15,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,1,Lv,,20.0,19.0,1.0,0.11,0,0.0,2,55.39,0,609.0,609.0
16,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,2,Fm,,19.0,15.0,4.0,0.11,0,0.0,2,54.29,0,2389.0,2389.0
17,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,3,Hh,,15.0,0.0,15.0,0.11,0,0.0,2,57.66,0,9514.0,9514.0
