id,source,pedon_id,order,lat,lon,latlon_q,horizon_number,horizon,horizon_type,depth2,depth1,depth,bulk_density,bd_method,cf,cf_method,cconc,cconc_method,mineral_d,ff_d,total_d,ccontent,total_c,ccontent_1m,total_c_1m,pedon_start
0,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,1,Lv/S,NA,7.0,6.0,1.0,0.16,0,0.0,2,53.95,0,100.0,7.0,107.0,863.0,6820.0,863.0,65.55,True
1,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,2,Fm,NA,6.0,2.0,4.0,0.16,0,0.0,2,21.77,0,,,,1393.0,,1393.0,,False
2,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,3,Hh,NA,2.0,0.0,2.0,0.16,0,0.0,2,41.5,0,,,,1328.0,,1328.0,,False
3,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,4,Aeg,NA,0.0,-3.0,3.0,1.48,0,0.0,2,0.47,0,,,,209.0,,209.0,,False
4,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,5,Bmg,NA,-3.0,-35.0,32.0,1.59,0,0.0,2,0.21,0,,,,1068.0,,1068.0,,False
5,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,6,BC,NA,-35.0,-60.0,25.0,1.59,0,0.0,2,0.16,0,,,,636.0,,636.0,,False
6,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,7,Cg,NA,-60.0,-110.0,50.0,1.47,0,0.0,2,0.18,0,,,,1323.0,,1058.0,,False
7,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,1,Lv,NA,13.0,12.0,1.0,0.16,0,0.0,2,53.33,0,100.0,13.0,113.0,853.0,13978.0,853.0,138.16,True
8,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,2,Fm,NA,12.0,11.0,1.0,0.16,0,0.0,2,50.78,0,,,,812.0,,812.0,,False
9,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,3,Hh,NA,11.0,0.0,11.0,0.16,0,0.0,2,49.88,0,,,,8779.0,,8779.0,,False
10,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,4,Ae,NA,0.0,-7.0,7.0,1.32,0,0.0,2,0.35,0,,,,323.0,,323.0,,False
11,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,5,Bm1,NA,-7.0,-25.0,18.0,1.35,0,0.0,2,0.58,0,,,,1409.0,,1409.0,,False
12,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,6,Bm2,NA,-25.0,-55.0,30.0,1.55,0,0.0,2,0.25,0,,,,1162.0,,1162.0,,False
13,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,7,BC,NA,-55.0,-85.0,30.0,1.51,0,0.0,2,0.09,0,,,,408.0,,408.0,,False
14,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,8,Cg,NA,-85.0,-135.0,50.0,1.55,0,0.0,2,0.03,0,,,,232.0,,70.0,,False
15,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,1,Lv,NA,20.0,19.0,1.0,0.11,0,0.0,2,55.39,0,100.0,20.0,120.0,609.0,37508.0,609.0,348.89,True
16,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,2,Fm,NA,19.0,15.0,4.0,0.11,0,0.0,2,54.29,0,,,,2389.0,,2389.0,,False
17,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,3,Hh,NA,15.0,0.0,15.0,0.11,0,0.0,2,57.66,0,,,,9514.0,,9514.0,,False
18,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,4,Aeg,NA,0.0,-9.0,9.0,0.93,0,0.0,2,3.74,0,,,,3130.0,,3130.0,,False
19,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,5,Bhcj,NA,-9.0,-20.0,11.0,0.86,0,0.0,2,2.73,0,,,,2583.0,,2583.0,,False
20,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,6,Bhg,NA,-20.0,-59.0,39.0,0.86,0,0.0,2,3.8,0,,,,12745.0,,12745.0,,False
21,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,7,Bg,NA,-59.0,-62.0,3.0,0.86,0,0.0,2,3.36,0,,,,867.0,,867.0,,False
22,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,8,Bfc,NA,-62.0,-65.0,3.0,1.17,0,0.0,2,1.57,0,,,,551.0,,551.0,,False
23,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,9,BC,NA,-65.0,-90.0,25.0,1.71,0,0.0,2,0.41,0,,,,1753.0,,1753.0,,False
24,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,10,Cg,NA,-90.0,-135.0,45.0,1.74,0,0.0,2,0.43,0,,,,3367.0,,748.0,,False
25,SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.6886111,HIGH,1,Lv/S,NA,20.0,19.0,1.0,0.11,0,0.0,2,55.72,0,100.0,20.0,120.0,613.0,35999.0,613.0,336.43,True
26,SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.6886111,HIGH,2,Fm,NA,19.0,15.0,4.0,0.11,0,0.0,2,53.76,0,,,,2365.0,,2365.0,,False
27,SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.6886111,HIGH,3,Hh,NA,15.0,0.0,15.0,0.11,0,0.0,2,52.2,0,,,,8613.0,,8613.0,,False
28,SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.6886111,HIGH,4,Aeg,NA,0.0,-12.0,12.0,0.61,0,0.0,2,7.24,0,,,,5300.0,,5300.0,,False
29,SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.6886111,HIGH,5,Bhc,NA,-12.0,-72.0,60.0,1.4,0,0.0,2,1.7,0,,,,14280.0,,14280.0,,False
