id,source,pedon_id,order,lat,lon,latlon_q,horizon_number,horizon,ccontent,total_c,ccontent_1m,total_c_1m
0,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,1,Lv/S,863.0,6820.0,863.0,65.55
1,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,2,Fm,1393.0,,1393.0,
2,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,3,Hh,1328.0,,1328.0,
3,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,4,Aeg,209.0,,209.0,
4,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,5,Bmg,1068.0,,1068.0,
5,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,6,BC,636.0,,636.0,
6,SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.6861111,HIGH,7,Cg,1323.0,,1058.0,
7,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,1,Lv,853.0,13978.0,853.0,138.16
8,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,2,Fm,812.0,,812.0,
9,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,3,Hh,8779.0,,8779.0,
10,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,4,Ae,323.0,,323.0,
11,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,5,Bm1,1409.0,,1409.0,
12,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,6,Bm2,1162.0,,1162.0,
13,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,7,BC,408.0,,408.0,
14,SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.9822222,HIGH,8,Cg,232.0,,70.0,
15,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,1,Lv,609.0,37508.0,609.0,348.89
16,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,2,Fm,2389.0,,2389.0,
17,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,3,Hh,9514.0,,9514.0,
18,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,4,Aeg,3130.0,,3130.0,
19,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,5,Bhcj,2583.0,,2583.0,
20,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,6,Bhg,12745.0,,12745.0,
21,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,7,Bg,867.0,,867.0,
22,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,8,Bfc,551.0,,551.0,
23,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,9,BC,1753.0,,1753.0,
24,SANBORN & MASSICOTTE 2010,BC09-02,Placic Humic Podzol,54.02252778,-131.9755556,HIGH,10,Cg,3367.0,,748.0,
25,SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.6886111,HIGH,1,Lv/S,613.0,35999.0,613.0,336.43
26,SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.6886111,HIGH,2,Fm,2365.0,,2365.0,
27,SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.6886111,HIGH,3,Hh,8613.0,,8613.0,
28,SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.6886111,HIGH,4,Aeg,5300.0,,5300.0,
29,SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.6886111,HIGH,5,Bhc,14280.0,,14280.0,
30,SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.6886111,HIGH,6,Bfc,924.0,,924.0,
31,SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.6886111,HIGH,7,BC,3096.0,,1548.0,
32,SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.6886111,HIGH,8,Cg,808.0,,0.0,
33,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,1,Lv/S,618.0,48896.0,618.0,474.28
34,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,2,Fm,2222.0,,2222.0,
35,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,3,Hh1,7024.0,,7024.0,
36,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,4,Hh2,1680.0,,1680.0,
37,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,5,Hh3,6101.0,,6101.0,
