Row,SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY_MEAS,BULK DENSITY_SHAW,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,,,,,,,,,Canadian Order,HORIZON,,cconc_method
1,NRCS (Michaelson et al. 2013),95AK110001,"Loamy, dysic Terric Cryohemist",58.298,-134.547,HIGH,NA,NA,NA,Oe1,0,16,16,38,102,140,0.00,0.12,0.12,0,50.09,9617,65023,9617,597.0,155.97,,,,,,,,Terric Mesisol,Om1,,0
2,NRCS (Michaelson et al. 2013),95AK110001,"Loamy, dysic Terric Cryohemist",58.298,-134.547,HIGH,NA,NA,NA,Oe2,16,33,17,,,,0.00,0.12,0.12,0,50.60,10322,,10322,,,,,,,,,,Terric Mesisol,Om2,,0
3,NRCS (Michaelson et al. 2013),95AK110001,"Loamy, dysic Terric Cryohemist",58.298,-134.547,HIGH,NA,NA,NA,Oe3,33,60,27,,,,0.00,0.12,0.12,0,56.11,18180,,18180,,,,,,,,,,Terric Mesisol,Om3,,0
4,NRCS (Michaelson et al. 2013),95AK110001,"Loamy, dysic Terric Cryohemist",58.298,-134.547,HIGH,NA,NA,NA,Oe4 / Oe5,60,84,24,,,,0.00,0.12,0.12,0,56.39,16240,,16240,,,,,,,,,,Terric Mesisol,Om4 / Om5,,0
5,NRCS (Michaelson et al. 2013),95AK110001,"Loamy, dysic Terric Cryohemist",58.298,-134.547,HIGH,NA,NA,NA,Oe6,84,102,18,,,,0.00,0.12,0.12,0,27.82,6009,,5341,,,,,,,,,,Terric Mesisol,Om6,,0
6,NRCS (Michaelson et al. 2013),95AK110001,"Loamy, dysic Terric Cryohemist",58.298,-134.547,HIGH,NA,NA,NA,2Bgb,102,115,13,,,,0.99,1.71,0.99,13,3.21,3594,,0,,,,,,,,,,Terric Mesisol,2Bgb,,0
7,NRCS (Michaelson et al. 2013),95AK110001,"Loamy, dysic Terric Cryohemist",58.298,-134.547,HIGH,NA,NA,NA,2Cg,115,140,25,,,,0.00,1.74,1.74,54,0.53,1061,,0,,,,,,,,,,Terric Mesisol,2Cg,,0
8,NRCS (Michaelson et al. 2013),95AK110002,"Loamy, dysic Terric Cryohemist",58.297,-134.548,HIGH,NA,NA,NA,Oe1,0,10,10,99,51,150,0.00,0.12,0.12,0,43.20,5184,23626,5184,223.0,66.90,,,,,,,,Terric Mesisol,Om1,,0
9,NRCS (Michaelson et al. 2013),95AK110002,"Loamy, dysic Terric Cryohemist",58.297,-134.548,HIGH,NA,NA,NA,Oe2,10,23,13,,,,0.00,0.12,0.12,0,27.33,4263,,4263,,,,,,,,,,Terric Mesisol,Om2,,0
10,NRCS (Michaelson et al. 2013),95AK110002,"Loamy, dysic Terric Cryohemist",58.297,-134.548,HIGH,NA,NA,NA,Oe3,23,31,8,,,,0.00,0.12,0.12,0,29.84,2865,,2865,,,,,,,,,,Terric Mesisol,Om3,,0
